ANO_ELEICAO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO,QT_VOTOS_SAMIR,QT_VOTOS_VALIDOS_SECAO,Local_Busca_Geografica
2024,RIO BRANCO,9,452,ASSOC. COMERCIAL - ACISA,6,2070,"RIO BRANCO, Acre, Brasil, ASSOC. COMERCIAL - ACISA"
2024,RIO BRANCO,9,308,FACULDADE UNINORTE,7,1899,"RIO BRANCO, Acre, Brasil, FACULDADE UNINORTE"
2024,RIO BRANCO,9,36,ESCOLA NATALINO DA SILVEIRA BRITO,8,1074,"RIO BRANCO, Acre, Brasil, ESCOLA NATALINO DA SILVEIRA BRITO"
2024,RIO BRANCO,1,67,ESCOLA DR. CARLOS VASCONCELOS,4,1236,"RIO BRANCO, Acre, Brasil, ESCOLA DR. CARLOS VASCONCELOS"
2024,RIO BRANCO,1,189,ESCOLA MENINO JESUS,8,1694,"RIO BRANCO, Acre, Brasil, ESCOLA MENINO JESUS"
2024,RIO BRANCO,1,662,ESCOLA JORGE FELIX LAVOCAT,13,3352,"RIO BRANCO, Acre, Brasil, ESCOLA JORGE FELIX LAVOCAT"
2024,RIO BRANCO,9,265,ESCOLA ESTADUAL RURAL JORGE KALUME,52,1910,"RIO BRANCO, Acre, Brasil, ESCOLA ESTADUAL RURAL JORGE KALUME"
2024,RIO BRANCO,9,106,ESCOLA FLAVIANO FLÁVIO BAPTISTA,5,1635,"RIO BRANCO, Acre, Brasil, ESCOLA FLAVIANO FLÁVIO BAPTISTA"
2024,RIO BRANCO,9,190,ESCOLA PÚBLICA ALCIMAR LEITÃO,10,1147,"RIO BRANCO, Acre, Brasil, ESCOLA PÚBLICA ALCIMAR LEITÃO"
2024,RIO BRANCO,9,185,ESCOLA MARILDA GOUVEIA VIANA,6,1600,"RIO BRANCO, Acre, Brasil, ESCOLA MARILDA GOUVEIA VIANA"
2024,RIO BRANCO,1,446,ESCOLA LEONCIO DE CARVALHO,6,2313,"RIO BRANCO, Acre, Brasil, ESCOLA LEONCIO DE CARVALHO"
