DT_GERACAO,HH_GERACAO,AA_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,DS_ENDERECO,NM_BAIRRO,NR_CEP,LATITUDE,LONGITUDE,DS_SITU_LOCAL_VOTACAO,DS_SITU_SECAO,DS_SITU_SECAO_ACESSIBILIDADE,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,QT_ELEITOR_ELEICAO_ESTADUAL,ID_SECAO_2026,ID_LOCAL_2026,TERRITORIO_2026,RURAL_IDENTIFICADA,FONTE_CLASSIFICACAO_TERRITORIAL,CONFIANCA_CLASSIFICACAO_TERRITORIAL,LOCAL_ATIVO
03/08/2026,06:28:06,2026,AC,01120,ACRELÂNDIA,8,8,1015,ESCOLA ALTINA MAGALHAES,BR 364 - KM 114 S/N,ZONA RURAL,69945000,-9.8276915,-66.8806614,ATIVO,ATIVO,Com acessibilidade,214,214,214,01120|8|8,01120|8|1015,RURAL IDENTIFICADA,True,Termo RURAL no bairro ou no nome do local no arquivo do TSE,ALTA,True
03/08/2026,06:28:06,2026,AC,01120,ACRELÂNDIA,8,9,1015,ESCOLA ALTINA MAGALHAES,BR 364 - KM 114 S/N,ZONA RURAL,69945000,-9.8276915,-66.8806614,ATIVO,ATIVO,Com acessibilidade,216,216,216,01120|8|9,01120|8|1015,RURAL IDENTIFICADA,True,Termo RURAL no bairro ou no nome do local no arquivo do TSE,ALTA,True
03/08/2026,06:28:06,2026,AC,01120,ACRELÂNDIA,8,83,1015,ESCOLA ALTINA MAGALHAES,BR 364 - KM 114 S/N,ZONA RURAL,69945000,-9.8276915,-66.8806614,ATIVO,ATIVO,Com acessibilidade,217,217,217,01120|8|83,01120|8|1015,RURAL IDENTIFICADA,True,Termo RURAL no bairro ou no nome do local no arquivo do TSE,ALTA,True
03/08/2026,06:28:06,2026,AC,01120,ACRELÂNDIA,8,143,1015,ESCOLA ALTINA MAGALHAES,BR 364 - KM 114 S/N,ZONA RURAL,69945000,-9.8276915,-66.8806614,ATIVO,ATIVO,Com acessibilidade,218,218,218,01120|8|143,01120|8|1015,RURAL IDENTIFICADA,True,Termo RURAL no bairro ou no nome do local no arquivo do TSE,ALTA,True
03/08/2026,06:28:06,2026,AC,01120,ACRELÂNDIA,8,233,1015,ESCOLA ALTINA MAGALHAES,BR 364 - KM 114 S/N,ZONA RURAL,69945000,-9.8276915,-66.8806614,ATIVO,ATIVO,Com acessibilidade,214,214,214,01120|8|233,01120|8|1015,RURAL IDENTIFICADA,True,Termo RURAL no bairro ou no nome do local no arquivo do TSE,ALTA,True
03/08/2026,06:28:06,2026,AC,01120,ACRELÂNDIA,8,64,1023,ESCOLA  DE 1 GRAU PROF PEDRO DE CASTRO MEIRELES,AV PARANA COM RUA DOS PINHEIROS,CENTRO,69945000,-10.07847,-67.0559373,ATIVO,ATIVO,Sem acessibilidade,245,245,245,01120|8|64,01120|8|1023,URBANA OU NÃO IDENTIFICADA COMO RURAL,False,Ausência de marcador rural nos campos públicos,MÉDIA,True
03/08/2026,06:28:06,2026,AC,01120,ACRELÂNDIA,8,72,1023,ESCOLA  DE 1 GRAU PROF PEDRO DE CASTRO MEIRELES,AV PARANA COM RUA DOS PINHEIROS,CENTRO,69945000,-10.07847,-67.0559373,ATIVO,ATIVO,Sem acessibilidade,241,241,241,01120|8|72,01120|8|1023,URBANA OU NÃO IDENTIFICADA COMO RURAL,False,Ausência de marcador rural nos campos públicos,MÉDIA,True
03/08/2026,06:28:06,2026,AC,01120,ACRELÂNDIA,8,77,1023,ESCOLA  DE 1 GRAU PROF PEDRO DE CASTRO MEIRELES,AV PARANA COM RUA DOS PINHEIROS,CENTRO,69945000,-10.07847,-67.0559373,ATIVO,ATIVO,Sem acessibilidade,244,244,244,01120|8|77,01120|8|1023,URBANA OU NÃO IDENTIFICADA COMO RURAL,False,Ausência de marcador rural nos campos públicos,MÉDIA,True
03/08/2026,06:28:06,2026,AC,01120,ACRELÂNDIA,8,84,1023,ESCOLA  DE 1 GRAU PROF PEDRO DE CASTRO MEIRELES,AV PARANA COM RUA DOS PINHEIROS,CENTRO,69945000,-10.07847,-67.0559373,ATIVO,ATIVO,Sem acessibilidade,245,245,245,01120|8|84,01120|8|1023,URBANA OU NÃO IDENTIFICADA COMO RURAL,False,Ausência de marcador rural nos campos públicos,MÉDIA,True
03/08/2026,06:28:06,2026,AC,01120,ACRELÂNDIA,8,224,1023,ESCOLA  DE 1 GRAU PROF PEDRO DE CASTRO MEIRELES,AV PARANA COM RUA DOS PINHEIROS,CENTRO,69945000,-10.07847,-67.0559373,ATIVO,ATIVO,Sem acessibilidade,241,241,241,01120|8|224,01120|8|1023,URBANA OU NÃO IDENTIFICADA COMO RURAL,False,Ausência de marcador rural nos campos públicos,MÉDIA,True
