DT_GERACAO,AA_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,DS_GENERO,DS_ESTADO_CIVIL,DS_FAIXA_ETARIA,DS_GRAU_ESCOLARIDADE,DS_RACA_COR,DS_IDENTIDADE_GENERO,DS_QUILOMBOLA,QT_ELEITORES,QT_ELEITORES_BIOMETRIA,QT_ELEITORES_DEFICIENCIA,QT_ELEITORES_NOME_SOCIAL
14/07/2026,2026,AC,01023,PORTO ACRE,1,MASCULINO,CASADO,45 a 49 anos,ENSINO FUNDAMENTAL COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,19,19,0,0
14/07/2026,2026,AC,01007,BUJARI,9,MASCULINO,SOLTEIRO,35 a 39 anos,ENSINO FUNDAMENTAL INCOMPLETO,Parda,Cisgênero,NÃO,35,35,1,0
14/07/2026,2026,AC,01392,RIO BRANCO,1,MASCULINO,CASADO,85 a 89 anos,ANALFABETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,37,37,1,0
14/07/2026,2026,AC,01112,EPITACIOLÂNDIA,6,MASCULINO,SOLTEIRO,25 a 29 anos,ANALFABETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,7,6,3,0
14/07/2026,2026,AC,01058,BRASILÉIA,6,FEMININO,SOLTEIRO,35 a 39 anos,ENSINO FUNDAMENTAL COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,41,39,0,0
14/07/2026,2026,AC,01074,CRUZEIRO DO SUL,4,FEMININO,SEPARADO JUDICIALMENTE,70 a 74 anos,ENSINO MÉDIO COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,2,2,0,0
14/07/2026,2026,AC,01082,RODRIGUES ALVES,4,MASCULINO,CASADO,60 a 64 anos,LÊ E ESCREVE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,23,23,0,0
14/07/2026,2026,AC,01112,EPITACIOLÂNDIA,6,MASCULINO,CASADO,50 a 54 anos,ENSINO FUNDAMENTAL INCOMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,33,33,0,0
14/07/2026,2026,AC,01074,CRUZEIRO DO SUL,4,MASCULINO,CASADO,35 a 39 anos,ENSINO FUNDAMENTAL COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,28,28,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,MASCULINO,CASADO,90 a 94 anos,LÊ E ESCREVE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,22,22,0,0
14/07/2026,2026,AC,01139,FEIJÓ,7,FEMININO,SOLTEIRO,17 anos,ENSINO FUNDAMENTAL INCOMPLETO,Indígena,Cisgênero,NÃO,14,14,1,0
14/07/2026,2026,AC,01112,EPITACIOLÂNDIA,6,MASCULINO,SOLTEIRO,55 a 59 anos,SUPERIOR COMPLETO,Parda,Cisgênero,NÃO,3,2,0,0
14/07/2026,2026,AC,01104,JORDÃO,5,MASCULINO,CASADO,35 a 39 anos,ENSINO MÉDIO COMPLETO,Preta,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,FEMININO,SEPARADO JUDICIALMENTE,65 a 69 anos,ENSINO FUNDAMENTAL INCOMPLETO,Parda,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,FEMININO,SOLTEIRO,70 a 74 anos,ENSINO FUNDAMENTAL INCOMPLETO,Parda,Cisgênero,NÃO,13,13,1,0
14/07/2026,2026,AC,01104,JORDÃO,5,FEMININO,SOLTEIRO,35 a 39 anos,LÊ E ESCREVE,Indígena,Cisgênero,NÃO,12,12,0,0
14/07/2026,2026,AC,01074,CRUZEIRO DO SUL,4,FEMININO,DIVORCIADO,45 a 49 anos,SUPERIOR INCOMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,6,6,0,0
14/07/2026,2026,AC,01031,SANTA ROSA DO PURUS,3,FEMININO,SOLTEIRO,30 a 34 anos,ANALFABETO,Indígena,Cisgênero,NÃO,12,12,0,0
14/07/2026,2026,AC,01058,BRASILÉIA,6,MASCULINO,SOLTEIRO,30 a 34 anos,LÊ E ESCREVE,Parda,Cisgênero,NÃO,7,6,1,0
14/07/2026,2026,AC,01015,CAPIXABA,2,MASCULINO,DIVORCIADO,80 a 84 anos,LÊ E ESCREVE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,2,2,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,1,MASCULINO,DIVORCIADO,75 a 79 anos,ENSINO MÉDIO COMPLETO,Parda,Cisgênero,NÃO,5,5,0,0
14/07/2026,2026,AC,01015,CAPIXABA,2,FEMININO,SOLTEIRO,30 a 34 anos,ENSINO FUNDAMENTAL INCOMPLETO,Branca,Cisgênero,NÃO,3,3,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,MASCULINO,CASADO,65 a 69 anos,LÊ E ESCREVE,Preta,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,MASCULINO,SOLTEIRO,80 a 84 anos,ENSINO MÉDIO INCOMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,2,2,1,0
14/07/2026,2026,AC,01112,EPITACIOLÂNDIA,6,FEMININO,CASADO,60 a 64 anos,SUPERIOR COMPLETO,Parda,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01104,JORDÃO,5,FEMININO,SOLTEIRO,85 a 89 anos,ANALFABETO,Indígena,Cisgênero,NÃO,2,2,1,0
14/07/2026,2026,AC,01392,RIO BRANCO,1,FEMININO,VIÚVO,50 a 54 anos,ENSINO FUNDAMENTAL INCOMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,12,12,0,0
14/07/2026,2026,AC,01031,SANTA ROSA DO PURUS,3,MASCULINO,SOLTEIRO,17 anos,ENSINO MÉDIO COMPLETO,Parda,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01139,FEIJÓ,7,MASCULINO,CASADO,60 a 64 anos,ANALFABETO,Parda,Cisgênero,NÃO,15,15,0,0
14/07/2026,2026,AC,01031,SANTA ROSA DO PURUS,3,FEMININO,CASADO,65 a 69 anos,ANALFABETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,1,0,0
14/07/2026,2026,AC,01074,CRUZEIRO DO SUL,4,MASCULINO,SOLTEIRO,21 a 24 anos,ENSINO FUNDAMENTAL COMPLETO,Preta,Cisgênero,NÃO,8,8,0,0
14/07/2026,2026,AC,01090,MÂNCIO LIMA,4,FEMININO,SOLTEIRO,30 a 34 anos,LÊ E ESCREVE,Preta,Prefere não informar,NÃO,1,1,0,0
14/07/2026,2026,AC,01120,ACRELÂNDIA,8,FEMININO,CASADO,40 a 44 anos,ENSINO MÉDIO INCOMPLETO,Parda,Cisgênero,NÃO,2,2,0,0
14/07/2026,2026,AC,01031,SANTA ROSA DO PURUS,3,MASCULINO,SOLTEIRO,40 a 44 anos,ENSINO FUNDAMENTAL COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,4,4,0,0
14/07/2026,2026,AC,01082,RODRIGUES ALVES,4,MASCULINO,CASADO,21 a 24 anos,ENSINO MÉDIO INCOMPLETO,Parda,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01112,EPITACIOLÂNDIA,6,FEMININO,SOLTEIRO,65 a 69 anos,ENSINO FUNDAMENTAL INCOMPLETO,Parda,Cisgênero,NÃO,5,4,0,0
14/07/2026,2026,AC,01554,MANOEL URBANO,3,FEMININO,CASADO,40 a 44 anos,SUPERIOR COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,11,11,0,0
14/07/2026,2026,AC,01120,ACRELÂNDIA,8,MASCULINO,SOLTEIRO,21 a 24 anos,ENSINO FUNDAMENTAL INCOMPLETO,Branca,Cisgênero,NÃO,5,5,0,0
14/07/2026,2026,AC,01120,ACRELÂNDIA,8,FEMININO,CASADO,70 a 74 anos,ANALFABETO,Branca,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01112,EPITACIOLÂNDIA,6,MASCULINO,SOLTEIRO,40 a 44 anos,ENSINO MÉDIO INCOMPLETO,Parda,Cisgênero,NÃO,10,10,0,0
