CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,NR_LOCAL_VOTACAO,DIMENSAO,CATEGORIA,QT_ELEITORES,QT_ELEITORES_BIOMETRIA,QT_ELEITORES_DEFICIENCIA,QT_ELEITORES_NOME_SOCIAL
01007,BUJARI,9,1,1104,GÊNERO,FEMININO,138,128,0,0
01007,BUJARI,9,1,1104,GÊNERO,MASCULINO,170,160,2,0
01007,BUJARI,9,2,1104,GÊNERO,FEMININO,168,159,0,0
01007,BUJARI,9,2,1104,GÊNERO,MASCULINO,143,133,0,0
01007,BUJARI,9,3,1104,GÊNERO,FEMININO,142,137,1,0
01007,BUJARI,9,3,1104,GÊNERO,MASCULINO,162,156,3,0
01007,BUJARI,9,4,1104,GÊNERO,FEMININO,137,127,0,0
01007,BUJARI,9,4,1104,GÊNERO,MASCULINO,166,155,1,0
01007,BUJARI,9,5,1112,GÊNERO,FEMININO,173,170,1,0
01007,BUJARI,9,5,1112,GÊNERO,MASCULINO,156,154,2,0
01007,BUJARI,9,6,1112,GÊNERO,FEMININO,169,167,0,0
01007,BUJARI,9,6,1112,GÊNERO,MASCULINO,157,157,2,0
01007,BUJARI,9,7,1023,GÊNERO,FEMININO,100,100,0,0
01007,BUJARI,9,7,1023,GÊNERO,MASCULINO,102,102,0,0
01007,BUJARI,9,8,1023,GÊNERO,FEMININO,94,94,1,0
01007,BUJARI,9,8,1023,GÊNERO,MASCULINO,112,112,0,0
01007,BUJARI,9,9,1023,GÊNERO,FEMININO,96,96,1,0
01007,BUJARI,9,9,1023,GÊNERO,MASCULINO,111,110,4,0
01007,BUJARI,9,10,1023,GÊNERO,FEMININO,90,90,0,0
01007,BUJARI,9,10,1023,GÊNERO,MASCULINO,113,113,1,0
01007,BUJARI,9,120,1112,GÊNERO,FEMININO,163,162,2,0
01007,BUJARI,9,120,1112,GÊNERO,MASCULINO,165,165,1,0
01007,BUJARI,9,136,1023,GÊNERO,FEMININO,90,90,0,0
01007,BUJARI,9,136,1023,GÊNERO,MASCULINO,108,108,1,0
01007,BUJARI,9,137,1112,GÊNERO,FEMININO,165,164,0,0
01007,BUJARI,9,137,1112,GÊNERO,MASCULINO,158,156,4,0
01007,BUJARI,9,163,1040,GÊNERO,FEMININO,90,89,3,0
01007,BUJARI,9,163,1040,GÊNERO,MASCULINO,118,113,0,0
01007,BUJARI,9,186,1112,GÊNERO,FEMININO,158,156,1,0
01007,BUJARI,9,186,1112,GÊNERO,MASCULINO,172,171,1,0
01007,BUJARI,9,192,1058,GÊNERO,FEMININO,148,144,1,0
01007,BUJARI,9,192,1058,GÊNERO,MASCULINO,164,161,2,0
01007,BUJARI,9,200,1066,GÊNERO,FEMININO,106,106,1,0
01007,BUJARI,9,200,1066,GÊNERO,MASCULINO,120,120,0,0
01007,BUJARI,9,201,1074,GÊNERO,FEMININO,85,85,0,0
01007,BUJARI,9,201,1074,GÊNERO,MASCULINO,90,90,0,0
01007,BUJARI,9,202,1058,GÊNERO,FEMININO,149,146,0,0
01007,BUJARI,9,202,1058,GÊNERO,MASCULINO,160,156,3,0
01007,BUJARI,9,208,1058,GÊNERO,FEMININO,168,165,0,0
01007,BUJARI,9,208,1058,GÊNERO,MASCULINO,138,136,1,0
01007,BUJARI,9,212,1082,GÊNERO,FEMININO,146,143,2,0
01007,BUJARI,9,212,1082,GÊNERO,MASCULINO,168,167,1,0
01007,BUJARI,9,237,1082,GÊNERO,FEMININO,147,144,5,0
01007,BUJARI,9,237,1082,GÊNERO,MASCULINO,164,159,3,0
01007,BUJARI,9,242,1090,GÊNERO,FEMININO,112,112,1,0
01007,BUJARI,9,242,1090,GÊNERO,MASCULINO,130,129,2,0
01007,BUJARI,9,252,1090,GÊNERO,FEMININO,128,127,0,0
01007,BUJARI,9,252,1090,GÊNERO,MASCULINO,117,117,4,0
01007,BUJARI,9,304,1112,GÊNERO,FEMININO,154,153,1,0
01007,BUJARI,9,304,1112,GÊNERO,MASCULINO,169,168,3,0
01007,BUJARI,9,305,1104,GÊNERO,FEMININO,142,127,3,0
01007,BUJARI,9,305,1104,GÊNERO,MASCULINO,152,132,0,0
01007,BUJARI,9,310,1066,GÊNERO,FEMININO,112,106,2,0
01007,BUJARI,9,310,1066,GÊNERO,MASCULINO,114,106,3,0
01007,BUJARI,9,411,1090,GÊNERO,FEMININO,130,123,1,0
01007,BUJARI,9,411,1090,GÊNERO,MASCULINO,112,101,3,0
01007,BUJARI,9,412,1112,GÊNERO,FEMININO,169,166,2,0
01007,BUJARI,9,412,1112,GÊNERO,MASCULINO,160,159,4,0
01007,BUJARI,9,413,1074,GÊNERO,FEMININO,84,79,0,0
01007,BUJARI,9,413,1074,GÊNERO,MASCULINO,89,85,2,0
01007,BUJARI,9,419,1104,GÊNERO,FEMININO,144,131,0,0
01007,BUJARI,9,419,1104,GÊNERO,MASCULINO,157,136,2,0
01007,BUJARI,9,436,1120,GÊNERO,FEMININO,139,139,3,0
01007,BUJARI,9,436,1120,GÊNERO,MASCULINO,141,141,3,0
01007,BUJARI,9,437,1120,GÊNERO,FEMININO,130,114,5,1
01007,BUJARI,9,437,1120,GÊNERO,MASCULINO,156,137,5,0
01007,BUJARI,9,439,1023,GÊNERO,FEMININO,88,73,1,0
01007,BUJARI,9,439,1023,GÊNERO,MASCULINO,115,102,6,0
01007,BUJARI,9,440,1023,GÊNERO,FEMININO,91,80,0,0
01007,BUJARI,9,440,1023,GÊNERO,MASCULINO,118,103,3,0
01007,BUJARI,9,441,1112,GÊNERO,FEMININO,174,108,5,1
01007,BUJARI,9,441,1112,GÊNERO,MASCULINO,154,93,7,0
01007,BUJARI,9,442,1147,GÊNERO,FEMININO,90,79,0,0
01007,BUJARI,9,442,1147,GÊNERO,MASCULINO,119,110,1,0
01007,BUJARI,9,475,1104,GÊNERO,FEMININO,139,135,1,0
01007,BUJARI,9,475,1104,GÊNERO,MASCULINO,162,156,1,0
01007,BUJARI,9,476,1120,GÊNERO,FEMININO,130,128,2,0
01007,BUJARI,9,476,1120,GÊNERO,MASCULINO,167,167,7,0
01007,BUJARI,9,477,1112,GÊNERO,FEMININO,168,166,5,0
01007,BUJARI,9,477,1112,GÊNERO,MASCULINO,157,157,8,0
01007,BUJARI,9,479,1104,GÊNERO,FEMININO,137,131,0,0
01007,BUJARI,9,479,1104,GÊNERO,MASCULINO,159,155,2,0
01015,CAPIXABA,2,65,1015,GÊNERO,FEMININO,125,116,2,0
01015,CAPIXABA,2,65,1015,GÊNERO,MASCULINO,150,142,5,0
01015,CAPIXABA,2,66,1015,GÊNERO,FEMININO,118,115,1,0
01015,CAPIXABA,2,66,1015,GÊNERO,MASCULINO,162,152,2,0
01015,CAPIXABA,2,67,1015,GÊNERO,FEMININO,144,132,1,0
01015,CAPIXABA,2,67,1015,GÊNERO,MASCULINO,140,136,1,0
01015,CAPIXABA,2,68,1015,GÊNERO,FEMININO,147,140,3,0
