CD_MUNICIPIO,NM_MUNICIPIO,ELEITORES_2026,ELEITORES_EM_LOCAIS_ATIVOS,ELEITORES_EM_LOCAIS_BLOQUEADOS,ELEITORES_RURAIS_IDENTIFICADOS,PARTICIPACAO_RURAL_PCT,LOCAIS,LOCAIS_RURAIS,SECOES,SECOES_RURAIS,SECOES_EM_LOCAIS_BLOQUEADOS,ELEITORES_PERFIL,ELEITORES_COM_BIOMETRIA,ELEITORES_COM_DEFICIENCIA,ELEITORES_COM_NOME_SOCIAL,BIOMETRIA_PCT
01392,RIO BRANCO,270350,268768,1582,11830,4.38,230,18,959,48,6,270350,257586,4084,51,95.28
01074,CRUZEIRO DO SUL,64167,64167,0,16502,25.72,71,27,260,74,0,64167,60862,527,2,94.85
01457,SENA MADUREIRA,30905,30905,0,2872,9.29,42,8,121,13,0,30905,28765,414,4,93.08
01473,TARAUACÁ,30033,30033,0,4299,14.31,28,9,121,22,0,30033,27873,702,3,92.81
01139,FEIJÓ,24230,24230,0,4944,20.4,24,12,93,26,0,24230,22384,401,4,92.38
01058,BRASILÉIA,19993,19993,0,3544,17.73,20,7,81,16,0,19993,18508,251,2,92.57
01538,SENADOR GUIOMARD,18670,18670,0,4182,22.4,31,13,98,25,0,18670,17781,187,2,95.24
01090,MÂNCIO LIMA,14659,14659,0,3798,25.91,19,9,59,15,0,14659,13697,330,0,93.44
01112,EPITACIOLÂNDIA,14604,14604,0,2587,17.71,20,7,55,11,0,14604,13679,190,1,93.67
01023,PORTO ACRE,14268,14268,0,3460,24.25,17,7,63,17,0,14268,13516,257,0,94.73
01490,XAPURI,12786,12786,0,1451,11.35,19,6,67,10,0,12786,12209,110,4,95.49
01511,PLÁCIDO DE CASTRO,12305,12305,0,2277,18.5,20,6,68,12,0,12305,11569,159,0,94.02
01082,RODRIGUES ALVES,12143,12143,0,6757,55.65,24,18,56,32,0,12143,11420,149,0,94.05
01040,MARECHAL THAUMATURGO,11857,11857,0,6079,51.27,16,12,50,28,0,11857,10827,26,0,91.31
01007,BUJARI,11148,11148,0,3508,31.47,11,6,41,16,0,11148,10647,149,2,95.51
01120,ACRELÂNDIA,10220,10220,0,3347,32.75,13,6,48,19,0,10220,9881,82,1,96.68
01554,MANOEL URBANO,8621,8621,0,572,6.63,8,2,31,3,0,8621,8112,86,0,94.1
01015,CAPIXABA,8164,8164,0,2176,26.65,8,4,35,11,0,8164,7688,125,0,94.17
01066,PORTO WALTER,7998,7998,0,2522,31.53,13,9,34,13,0,7998,7376,69,0,92.22
01570,ASSIS BRASIL,7290,7290,0,2318,31.8,13,7,28,11,0,7290,6805,116,0,93.35
01104,JORDÃO,6003,6003,0,1547,25.77,8,3,25,8,0,6003,5803,61,0,96.67
01031,SANTA ROSA DO PURUS,3961,3961,0,1122,28.33,6,3,18,6,0,3961,3831,18,0,96.72
